Updated On,State,Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,People in ICU,People on Ventilators,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Corona Enquiry Calls,Num Calls State Helpline,Source1,Source2,,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
01/06/20,Delhi,217537,Tested,20834,196703,,,,,,,,,,,,,,1031,https://delhifightscorona.in/wp-content/uploads/2020/05/05-31.pdf,https://t.me/indiacovid/6067,,9.58%,10.98,10979,10,19814000
02/06/20,Delhi,223607,Tested,22132,201475,,,,,,,,,,,,,,1031,https://t.me/indiacovid/6188,,,9.90%,11.29,11285,10,19814000
03/06/20,Delhi,230145,Tested,23645,206500,,,,,,,,,,408,,,,1031,https://delhifightscorona.in/wp-content/uploads/2020/06/06-03.pdf,,,10.27%,11.62,11615,10,19814000
04/06/20,Delhi,236506,Tested,25004,211502,,,,,,,,,,420,,,,1031,https://delhifightscorona.in/wp-content/uploads/2020/06/06-04.pdf,https://twitter.com/CMODelhi/status/1268587154046844929?s=09,,10.57%,11.94,11936,9,19814000
05/06/20,Delhi,241693,Tested,26334,215359,,,,,,,,,,428,,,,1031,https://delhifightscorona.in/wp-content/uploads/2020/06/06-05.pdf,https://twitter.com/CMODelhi/status/1268933777973080064?s=19,,10.90%,12.2,12198,9,19814000
06/06/20,Delhi,246873,Tested,27654,219219,,,,,,,,8637,,472,,,,1031,https://delhifightscorona.in/wp-content/uploads/2020/06/06-06.pdf,https://twitter.com/CMODelhi/status/1269294771538804737/photo/1,,11.20%,12.46,12460,9,19814000
07/06/20,Delhi,251915,Tested,28936,222979,,,,,,,,,,480,,,,1031,https://delhifightscorona.in/wp-content/uploads/2020/06/06-07.pdf,https://twitter.com/CMODelhi/status/1269668601687994369?s=19,,11.49%,12.71,12714,9,19814000
08/06/20,Delhi,255615,Tested,29943,225672,,,,,,,,,,512,,,,1031,https://t.me/indiacovid/6717?single,https://delhifightscoronhttps//delhifightscorona.in/wp-content/uploads/2020/06/06-08.pdfa.in/wp-content/uploads/2020/06/06-07.pdf,,11.71%,12.9,12901,9,19814000
09/06/20,Delhi,261079,Tested,31309,229770,,,,,,,,,,,,,,1031,https://delhifightscorona.in/wp-content/uploads/2020/06/06-09.pdf,,,11.99%,13.18,13176,8,19814000
10/06/20,Delhi,266156,Tested,32810,233346,,,,,,,,,,561,,,,1031,https://t.me/indiacovid/6908?single,https://t.me/indiacovid/6920,,12.33%,13.43,13433,8,19814000
